name,city,country,iata,icao
Malibu Confinamento - MC Airport,Castilho,BR,,SSBC
Sobradinho Airport,Sobradinho,BR,,SSBD
Camapua Airport,Camapua,BR,,SSBE
Fazenda JL Airport,Aparecida Do Taboado,BR,,SSBF
Aeroclube de Bento Goncalves Airport,Bento Goncalves,BR,BGV,SSBG
Fazenda Baia do Lara Airport,Corumba,BR,,SSBH
Bom Jesus Airport,Bom Jesus,BR,,SSBJ
Fazenda Araruna Airport,Sonora,BR,,SSBK
Blumenau Airport,Blumenau,BR,BNU,SSBL
Fazenda Lageado Airport,Dois Irmaos Do Buriti,BR,,SSBM
Belem Novo Airport,Porto Alegre,BR,,SSBN
Palmares Airport,Bossoroca,BR,,SSBO
Frigorifico Marfrig Airport,Bataguassu,BR,,SSBQ
Bandeirantes Airport,Bandeirantes,BR,,SSBR
Fazenda Boa Esperanca Airport,Brasilandia,BR,,SSBS
Fazenda Santa Ilidia Airport,Bataipora,BR,,SSBT
Fazenda Baguacu - Miragem Airport,Porto Murtinho,BR,,SSBU
Bela Vista Airport,Bela Vista,BR,,SSBV
Fazenda Boa Sorte Airport,Sidrolandia,BR,,SSBW
Fazenda Lageado Airport,Coxim,BR,,SSBX
Orlando Chesini Ometto Airport,Miranda,BR,,SSBY
Aeroclube Airport,Sapiranga,BR,,SSBZ
Fazenda Campo Bom Airport,Chapadao Do Sul,BR,,SSCA
Fazenda Santa Maria Airport,Mundo Novo,BR,,SSCB
Chapadao do Sul Airport,Chapadao Do Sul,BR,,SSCD
Aeroclube Airport,Bage,BR,,SSCE
Max Fontoura Airport,Campo Largo,BR,,SSCF
Fazenda Cachoeirao Airport,Nova Andradina,BR,,SSCH
Coxim Airport,Coxim,BR,,SSCI
Fazenda Celeiro Airport,Rio Brilhante,BR,,SSCJ
Concordia Airport,Concordia,BR,CCI,SSCK
Cassilandia Airport,Cassilandia,BR,CSS,SSCL
Fazenda Cacadinha Airport,Rio Brilhante,BR,,SSCM
Canela Airport,Canela,BR,QCN,SSCN
Comandante Marilda Zaiden de Mesquita Airport,Capao Do Leao,BR,,SSCO
Cornelio Procopio Airport,Cornelio Procopio,BR,CKO,SSCP
Salca Airport,Cacequi,BR,,SSCQ
Marechal Candido Rondon Airport,Marechal Candido Rondon,BR,,SSCR
Estancia Ema Airport,Campo Grande,BR,,SSCS
Cianorte Airport,Cianorte,BR,GGH,SSCT
Fazenda Santa Marina Airport,Santa Maria Das Barreiras,BR,,SSCU
Capivari Airport,Capivari Do Sul,BR,,SSCV
Fazenda Sao Sebastiao Airport,Corumba,BR,,SSCW
Fazenda Coxilha Airport,Passo Fundo,BR,,SSCX
Fazenda Kurupay Airport,Angelica,BR,,SSDB
Dionisio Cerqueira Airport,Dionisio Cerqueira,BR,,SSDC
Fazenda Barra Dourada Airport,Dourados,BR,,SSDE
Fazenda Sao Jose Airport,Corumba,BR,,SSDF
Fazenda Nazare Airport,Santa Filomena,BR,,SSDG
